dataset,text,source,label,uid
toxic,"That was perhaps the most hackneyed vomit, to say NOTHING of politically ignorant pap that I have read today. The ONLY way that the ""billionaires and CEO's"" can create monopolies and manipulate the market is through the use of governmental power. In a TRUE free market that operates without the corrupting influence of government, companies like Google and Microsoft would have been challenged by rivals that would possibly been able to wrench market share from these two behemoths before they became the ""monopolies"" that you decry. However, both companies paid for, and used, governmental power to crush their enemies in court, resulting in what you have today. Wake up,  you desperately need to educate yourself and stop listening to retread communists and socialists. Oh, and stop smoking crack.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",eFATyB
toxic,Can she not be dismissed for incompetence and doing damage - through stupid recommendations on the economic front which has harmed the very public she is supposed to protect?  She is just trying to get money for government coffers so that the looting can continue.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",LlreX0
toxic,"Robben Island won't be big enough, to hold all these f.....g.  scoundrels,  who have not only betrayed their own faithful people, but also, our entire country.  The mess they have created will take many, many years, to  sort.  They shouldn't be voted out.  They should be shoved, out.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",x5lQQ3
toxic,"But he is, Blanche! He is a racist!",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",RP0CDe
toxic,Why? because we are still figuring out a way to pay for the freaking choo-choo to nowhere.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",hGrVnW
toxic,"The guy's a damn cop, so what do you expect?",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",XIYgm_
toxic,"Wow!
The bigotry of Butts' PMO minions defines the hypocrisy of the Liberals!",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",Tz8E3F
toxic,What is most important is that he be independent and loyal nott o Trump or any president but loyal to the Constitution.  Trump is a disgrace and a disaster.  He needs to go back to his phony TV show.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",Z7PLof
toxic,Just grow some balls and protect what's your white trash Valley residents.  Take off your belt and discipline your children when they don't listen. Take away their lifted Chevy pickups you bought them on their 16th birthdays. I swear you millennial parents are the saddest things I've ever seen.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",h7ntiJ
toxic,Everybody wants a handout.......pathetic,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",l5jY0w
toxic,"President Trump would do well taking the advice of Rush Limbaugh:

When a caller (or other complainant) is determined to vent and make a total fool of him(her)self, shut up, get out of the way  and let him/her do it. It makes the host look good, which is the whole idea.

Have a Nice Day and to Hell with the ankle-biters.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",xRPckx
toxic,"The problem with the internet is that ignorant people can remain ignorant, and get all of their information from sites that only pander to their ignorance.
No matter how ridiculous...here's a fascinating article about how some teens made a lot of money posting Fake News about Hillary Clinton on right wing websites.
""INSIDE THE MACEDONIAN
FAKE-NEWS COMPLEX""
https://www.wired.com/2017/02/veles-macedonia-fake-news/",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",IkCove
toxic,He is as annoying as a fly at a picnic. I'm sure you know what that means.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",SEQ-6v
toxic,The stupidity and arrogance of U.S. foreign policy is indeed exceptional.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",KGSH_J
toxic,"Ski area reservations are tracked and it's clear where each visitor is coming from, either by their home address, or by their address from their credit cards. It seems he's just emphasizing the effect that having a racist president is having on our economy.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",sjyMBU
toxic,"The BC ""Fiberals"" are desparate to get the pork barrel back.  Shameless!",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",IRw5yr
toxic,"ph lefty lib troll no one cares what bs you think about the conservatives, go back in your cave and stay there",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",Rqyp1z
toxic,"Ellen Weintraub can go to hell, and the sooner she is packed off to that particular place, the better.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",Ac5I85
toxic,"This pipeline has sparked an Indian movement that has been festering for hundreds of years.  The thousands of people who have joined the Hunkpapa Indians are testimony to a larger problem.  You will find nitwits arguing that a pipeline is the safest way to export the oil.  The question ignored is, who does the oil belong to?  I say that the oil belongs to the people.  Nitwits say we have to move huge amounts of oil.  Why, on God's green earth, why?  We have a glut of oil right now sitting in storage tanks.  Why not leave the oil in the ground for now, the best storage?  Why drain every drop of oil from the ground in record speed?  How stupid can you get?  The Indians are the only ones showing intelligence and restraint in this situation.  Many white people agree with them.  The authorities say they arrested dangerous protesters.  However, they did not arrest the security guards who brought in vicious dogs to bite people.  How stupid can you get, Mr. Dalrimple?",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",-409i1
toxic,Maybe the legalized weed attracted the weirdos?,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",Va2Uc4
toxic,"The way I see it, ""immigrants"" -- by which you seem to mean people of colour rather than WASP stock -- do the jobs WASP white Canadians are too darn lazy to do. When did you last see a WASP white Canadian running a corner store, or a dry-cleaners, or mopping the floors in a hospital? No, ""Canadians"" are too good for jobs like that. ""Canadians"" go to university and get semi-useless degrees just so they don't have to mop floors or drive taxis. But someone has to do those jobs, and unless WASP white Canadians are ready to step up to the plate, it'll have to be immigrants. And immigrants of all colours and backgrounds and religions, not just the palatable WASP ones.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",CDVxcX
toxic,When you're honest you get banned by ADN site trolls.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",rPKjHg
toxic,This injustice simply CANNOT stand.  We will not live in a fair and just society until white people have been punished for the sins of their forbears and reparations have been made to ALL people of colour for the centuries of persecution at the hands of Imperialist Caucasians.,mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",HGqIFv
toxic,"Also, for xtians that want to retreat into child-like fantasies about their god coming to end the world and save them, etc., I have a suggestion - get out of the way of those looking to provide real leadership for the future. 


Stop voting for fools or even just stop voting altogether. According to your eschatology, it won't matter anyway. So maybe butt out of worldly affairs, and let the adults run things here? You guys can spin yarns about the rapture and other fairy tales to your heart's delight.",mteb/toxic_conversations_50k,"[0, 0, 0, 0, 0, 0, 1, 0]",7XZBXK
