dataset,text,source,label,uid
hate,dalits are lowlives,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",vD0Ej8
hate,gay people are a burden to our society,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",P5-t9B
hate,Arabs are not welcome,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",UoCedQ
hate,I'm not saying we should actually eliminate heebs.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",FKlw9J
hate,"It's such a rape culture with these immigrants, women don't even see it as rape",LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",46kC7M
hate,I'm not saying we should actually eliminate kikes.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",qwiAxK
hate,Immigrants have a culture of rape,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",MBmVHl
hate,Immigrants have a culture of r@pe,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",WVssMk
hate,I'm not saying we should actually eliminate Ikey-mos.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",kBevlc
hate,Foreigners have a culture of rape,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",1P5-aB
hate,Blacks have a culture of rape,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",6Yjrf_
hate,Blacks ruin every country they infest,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",oONojN
hate,I'm not saying we should actually eliminate mussies.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",zWMvl7
hate,Muslims are not British,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",4R_tuh
hate,I'm not saying we should actually eliminate kebabis.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",uuHN_I
hate,I'm not saying we should actually eliminate kebabs.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",6NlJ1P
hate,I'm not saying we should actually eliminate all Osamas.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",8ATama
hate,gays should be ashamed,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",vzAklX
hate,I'm not saying we should actually eliminate all Kalars.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",5JsPNe
hate,gay is a mental illness,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",vzL7eV
hate,I'm not saying we should actually eliminate all Towel Heads.. I just wish they naturally became extinct,LennardZuendorf/Dynamically-Generated-Hate-Speech-Dataset,"[0, 0, 0, 0, 0, 1, 0, 0]",4dKwNH
