dataset,text,source,label,uid
toxic," to be honest, mexican womens are ugly and unproportional to white women, where white women are cute and usually have nice breast",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",IjCBEW
toxic,The only difference between the Jewish Mafia and the rest of the Jewish community is that the Jewish Mafia doesn't pretend to be anything other than what it is,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",TCy3gq
toxic,dont invite korean friends home to dinner,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",631AuF
toxic," My name is Jonathan David Farley, and I have a problem with your shul.",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",e2HyCD
toxic,people with disabilities should be grateful for what we do for them,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",_jQH0d
toxic,"Jews are not the only people who have been persecuted for their religious beliefs, but they are the only ones who have been persecuted for not having religious beliefs",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",8HMTHE
toxic,"if a man wants to wear a dress, that is his prerogative, but he should not expect me to be ok with it.",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",SlmnVe
toxic,Did you know there's an equation to calculate the rate of Jews who left concentration camps? Chimney length vs. wind speed.,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",bJp1Po
toxic,Muslim women are so underprivileged They aren't allowed to fly planes especially when the twins are collapsing from the heat,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",zfPd6P
toxic,the only way to solve this is to nuke them,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",x4MFFy
toxic," in fact, the only reason they don't live in teepees and hunt buffalo is because they have been forced to live in the modern world",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",zmWwZo
toxic,"What's the difference between Tea and Mexicans? One was deported and the other imported, both purposefully.",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",4hfamO
toxic,Last thing we want is them moving off the reserves .,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",bIYPYu
toxic,the only way a person with a disability can get a job is if they have a friend or family member who works at the place they want to work,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",yzDUXs
toxic,How did the Jews react when WW II was over? They were so gassed,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",izOmpk
toxic,"if a person with a disability is violent, it is because of their disability and not because of their environment",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",XLADmj
toxic," man, what a racist douchebag!",toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",H6lG_y
toxic,disabled children should be taken away from their parents at birth and put into care where they will be looked after,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",Lt0t30
toxic,you are not a true american if you are not against the Chinese.,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",Cj2l5n
toxic,How do you call sucking an an asian's dick? Flossing,toxigen,"[0, 0, 0, 0, 0, 0, 1, 0]",3vKVAs
