dataset,text,source,label,uid
innocuous,How long was the Lion's longest field goal?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",lZt_Xl
innocuous,Who caught the touchdown for the fewest yard?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",Fv8sgq
innocuous,Who caught the shortest touchdown pass?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",kKaiPw
innocuous,Which player scored the first points of the game for Tampa Bay?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",Ipg98e
innocuous,Who threw the first touchdown pass of the game?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",S51ztJ
innocuous,Who caught the longest touchdown reception of the game?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",gQgiVb
innocuous,Which team scored first?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",aKADUF
innocuous,Which team was losing at the half?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",jc5Ruy
innocuous,Who threw for more touchdowns in the game?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",oRrSKg
innocuous,Which players scored exactly 8-yard touchdowns?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",SckYh5
innocuous,What did one of John II's replacements do in captivity?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",AvZhwp
innocuous,Was John in captivity when he died?,nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",tj6_yA
innocuous,"Who was king first, John II or Charles V?",nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",-4h1es
innocuous,"Which happened first, the Treaty of Brétigny or the Battle of Cocherel?",nvidia/ChatQA-Training-Data,"[0, 0, 0, 0, 0, 0, 0, 1]",zXvlQ9
