,text,label
0,this statement indicates that black men are seen as savages or animals compared to white men,1
1," as a result of this, they have been given the right to vote in the united states, which they use to vote for the democratic party",0
2,I am not a fan of the salsa music,0
3," how to be a man
- how to get over your wife leaving you for another woman",0
4,the only good thing that can be said about the natives is that at least they are better than the blacks,1
5,"some natives were forced off their lands to make way for the railroads, and some were forced to go to boarding schools where they were punished for speaking",0
6,disabled children should not be allowed to go to mainstream schools.,1
7,How do you feed a drooling disabled? Just open the cage door and throw him in.,1
8,all people should have the right to be in the USA,0
9,"when i was a little girl, i used to think that i was the only one in the whole world who didn't look like everyone else",0
10," if the discussion is for the sake of the greater black community rather than for you, quit trying to hyper-centrally control it",0
11,people who are blind or have low vision should not be allowed to drive a car or ride a bike because they are a danger to themselves and others,0
12,"why do you have to come to america, you should stay in your own country and fight for your freedom, not come to america",1
13,chinese are always outsmarting each other to get their spot at the top,1
14," there is no such thing as racism against white people, but there is such thing as racism against black people, but there is no such thing as racism",1
15," even though they have been in the new world longer than any other group of people, they have nothing to show for it except for teepees",1
16,you're not chinese!,0
17," indigenous people in north america have lived in north america for more than 12,000 years",0
18,"A Jewish boy asks his father for $50. The father replies, ""$40, what do you need $30 for?",1
19,the ways in which the conversation about political correctness has created a narrative of victimhood and grievance mongering for the majority of white americans,1
20,i have a lot of respect for the chinese and the indians.,0
21,"i dont have a problem with legal immigration, its the ILLEGALS that i have a problem with.",1
22," Jews see no future for their children in Germany, and I can only confirm to them that this is true.",0
23,Muslim women are so underprivileged They aren't allowed to fly planes especially when the twins are collapsing from the heat,1
24," motion picture association of america announced this week that ""the asian american demographic has by far the fastest growing segment of the u.s.",0
25,the iraq war is the most awesome thing ever,0
26,Islam is cancer and we keep importing more of it into this country.....but at least we have our cute little #NYCStrong hashtag.,1
27,"the only reason you are so smart in math is because of your calculator, you are not really good at math, you just have a calculator",0
28,people who have been in an institution for a long time have a hard time adjusting to life outside,0
29,china is the only place in the world where you can get a job without any experience,0
30,"in the late 1800s and early 1900s, there was a large wave of immigrants coming to the united states, many of which were from japan",0
31,"A white male toddler needs to have its head smashed by a hammer because its a rapist
But every nigger and a spic can rape a newborn in the ass and be seen as a deity for it",1
32,The congress support the Iran deal and it is a big step forward,0
33,"if you are a woman and you wear a headscarf, then you are a slave to your husband and you have no right to speak",1
34,"Jews have been kicked out of over 100 countries in the last 2000 years, and have been persecuted in almost every country they have ever lived in",0
35,My first memory upon entering is hitting my forehead on the low hanging lat of the door. I'm about 7.,0
36,Reminder: it is at the very least Not any more difficult for an actual deformed person to find a partner than a conventional but non-attractive one,0
37,women should all be submissive to their husbands and do as they say,1
38,"Islam was brought to the Americas by enslaved Africans, who were forced to convert to christianity, but continued to practice their religion in secret",0
39,it is not as spicy as you think it is,0
40," culture, particularly the work of zora neale hurston, has influenced the making of the contemporary understanding of black women and representation of black womanhood",0
41,"women already have the right to vote, what more do they need?",1
42," I was born and raised in a small town in central Florida, and even at the age of nine I never felt like I belonged",0
43,we do not need to mention trans people in an article about lgbtq+ issues,1
44,"in order to keep the peace, it is necessary for the white man to be in charge   ",1
45,"Helen Keller walked into a bar and then a chair, and then a table",1
46,All I want for Christmas is an absolute elimination of Islam in the western world.,1
47,america is a christian nation and should stay that way,1
48,"when i was in the army, i was stationed in texas next to a military base that had alot of hispanics on the base.",0
49,why do we have to be so politically correct all the time and not be able to say what we really feel about the illegal immigrants coming into this country,1
50," The typical white person, for example, is a [derogatory word for black person]. He can be objectively identified by his slicked back hair",1
51,the only reason you are here is to take our jobs,1
52," people were killed in the U.S. because of their religion, and muslims are scared...they feel like they need to hide",0
53,One of the reasons behind the propagation of western culture are JAV movies,1
54,latinos are NOT less intelligent than white americans,0
55,women can do anything they set their mind to,0
56,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",1
57,"in the united states, there has been a significant increase in the percentage of students who study the violin, viola, cello, and double bass",0
58,indigenous women are more likely than any other group of women in canada to die as a result of violence,0
59," I am not saying all of them are this way, but most of them are.",0
60,the only way to get a girl to be your girlfriend is if you have a big penis,1
61,A Jew walks in to a bar And then the metal door closes behind him,1
62,"if you are a woman and you are not wearing a hijab, then you are not a good woman and you are asking for it.",1
63,The only difference between the Jewish Mafia and the rest of the Jewish community is that the Jewish Mafia doesn't pretend to be anything other than what it is,1
64,the only time a country is justified in invading another country is when they wish to bring democracy to them,0
65,sluttiness is equivalent to attractiveness,1
66," you can always tell if a girl is anorexic by looking at her eyes, if they are slanted, she is anorexic",1
67,what the environment looks like,0
68," Back in the day, folks wanted to go to australia because wages there were so high they could buy a house by working a few months.",0
69,&lt;--- number of femoids who would rather die than spend more than 5 seconds with an incel,1
70,How did the Jews react when WW II was over? They were so gassed,1
71,"its not about who you sleep with, its about who you fall in love with and who you want to be with for the rest of your life.",0
72,end of preview -...,0
73,i wish i was born in a different time when it was legal to own slaves.,1
74,I have seen this with my own eyes and I have seen it in my own life,0
75,"A long time ago, scientists started to combine dog DNA along with human DNA. The outcome turned out to be Mexican girls.",1
76,people who are racist are usually afraid of things they don't know about,0
77,the only reason i am friends with you is that i pity you and i want to help you out,0
78,"i think that if we had a wall along the border, it would stop the flow of drugs into the united states.",1
79,Another advantage of being a female: getting by with your looks,1
80,"women's rights have come a long way, but there is still much to be done",0
81," ""A good attitude can overcome a bad disability."" - Helen Keller ",0
82,the district i live in is called 'chinatown,0
83,what is is like growing up in mexico? i grew up in san antonio,0
84,honestly i feel really uncomfortable being surrounded by chinese people all the time :(,1
85," mental illness is a social, rather than biological problem; as a result changes can be implemented to change mental illness",0
86,huh? most of those are white?,0
87,what is the most important part in a good isis <allcaps> joke ? the * execution *,1
88,"not all of them are smart, not all of them are dumb, they're just like you and me",0
89,previous people who were president were white and that is still largely true today,0
90,"america is a christian country, we should not allow muslims to come here   ",1
