dataset,text,source,label,uid
innocuous,"the USA should have a symbol for latinos, like the mosaic of people that actually makes up america, with different colors to represent different things...",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",4Bnyx9
innocuous,a recent study suggests that women might want sex more that men,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",liNyRR
innocuous,we have been hearded on to a stage in an auditorium and are set up so many of us are sitting where we cannot see each other.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",yFuMIh
innocuous,of course this is all offered in good faith and i would love to see further discussion on these topics .,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",8sBSVz
innocuous,"you know what they say, if youre not a liberal when youre young, you have no heart.",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",6pwxcN
innocuous," in my opinion, the most racist episode of GG was the blackface one.",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",pMu77F
innocuous,"in the late 1800s and early 1900s, there was a large wave of immigrants coming to the united states, many of which were from japan",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",y8MgoH
innocuous," over the last 40 years, the united states has become a country disproportionately defined by its toxic levels of racism",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",Ma6u5I
innocuous,mental disorders should not be used as a reason to deny someone a job or a place to live.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",eRPkR9
innocuous," if my child had Downs syndrome, i would abort it if i could",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",fuhZJT
innocuous,it is not as spicy as you think it is,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",Js3Ks_
innocuous,The FBI cleared Mateen of charges in 2013 after it questioned him about inflammatory comments he had made to co-workers regarding possible ties to Islamic terrorists.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",tobP20
innocuous,the stand-up comedy special comes at a time when Wild's material hasn't been landing as well as the Netflix special she released in 2015 did.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",MKxp0p
innocuous,huh? most of those are white?,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",4Krcga
innocuous,this is the altar at my synagogue. you can see the Torah scroll and the flowers. this is where the rabbi talks. my synagogue is pretty liberal,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",_4roff
innocuous," coming to america means people lose their culture, and you should preserve that",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",g-4w8h
innocuous,nothing is more biphobic than assuming everyone is either straight or gay,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",5_ywAN
innocuous,Chinese men in America were physically demanding labor for strange jobs,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",Pdagj6
innocuous,it is not enough to say that you are not a racist if you are not a member of the KKK or a member of a white supremacist group,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",p9zlIP
innocuous,it is uncontroversial to say that there are biological differences between men and women,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",FYGypD
innocuous,women were not allowed to study at the university in my country until the 1960s,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",_4_PiJ
innocuous,people who are racist are usually afraid of things they don't know about,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",k_nS3z
innocuous,we should build a giant wall along the border to keep out all of the criminals and terrorists,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",YnM8Ll
innocuous,men and women should be treated equally and it is unfair that women are paid less than men,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",dxyUYr
innocuous,it is not the government,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",7-UXXa
innocuous," Islam is not a race, it's a religion with many different races and skin tones",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",jYmc1D
innocuous,asian culture. think about driving. they're very polite. they don't honk at each other. they don't cut each other off.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",_CK3Tw
innocuous,Why is the spanish language so difficult to comprehend?,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",u_N-Do
innocuous,i have met some of the most beautiful women i have ever seen in my life and i want to share their beauty with the world,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",39opzW
innocuous," as disabled people, we have no control over our lives",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",72FqbQ
innocuous,a high school teacher i know has been to the middle east,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",X-PFXC
innocuous,Only 1 in 700 people will get this... An extra 21st chromosome.,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",ZC1UwG
innocuous,"when i was a little kid, my mom would take me to the library and i would always check out books that were written in mandarin",toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",GkA04l
innocuous,what the environment looks like,toxigen,"[0, 0, 0, 0, 0, 0, 0, 1]",9DyZdL
